1. FC Köln,Cologne;Colonia;FC Koln;1 FC Cologne;koln;FC COLONIA;FC Kolon;1. Fc Cologne;1. FC Colonia;Fc Cologne;1 fc koln;1.FC Köln;Köln;KOE
1. FSV Mainz 05,Mainz 05;Fsv Mainz 05;Mainz;1 FSV Mainz 05;FSV Mainz;Mainz 05;M05
1899 Hoffenheim,Hoffenheim;TSG Hoffenheim;Tsg 1899 Hoffenheim;Hoffenheim;HOF
FC Admira Wacker,FC Admira Wacker Mödling;Admira;FC Trenkwalder Admira;Admira Moedling;ADMIRA WACKER;Adm/Moedling;Admira Modling;Trenkwalder Admira;Admira Wacker Modling;Fc Admira Wacker Modli;Adm/Modling;Admira Wacker;ADM
Austria Wien,FK Austria Wien;Austria Vienna;A. Vienna;Austria Vienne;FK Austria Vienna;Austria;Austria Wien;AUS
Bayer Leverkusen,Leverkusen;bayer 04 leverkusen;Leverkusen;LEV
Bayern München,Bayern Monaco;Bayern Munich;FC Bayern München;Fc Bayern Monaco;Bayern;Fc Bayern Munich;Bayern;FCB
Bor. Mönchengladbach,Borussia M'gladbach;M'gladbach;borussia monchengladbach;Monchengladbach;gladbach;B. M'gladbach;M Gladbach;Monchengladbach;Borussia Moenchengladbach;Bor. Mönchengladb.;Borussia M  Gladbach;Mönchenglad.;B. Monchengladbach;Borussia M´gladbach;Bor. M'gladbach;M Gladbach;B Monchengladbach;M'gladbach;BMG
Borussia Dortmund,Dortmund;B. Dortmund;Bor. Dortmund;Dortmund;BVB
Eintracht Frankfurt,Francoforte;EINTRACHT FRANCOFORTE;Eintr. Frankfurt;Frankfurt;Eintracht Francfort;Eintracht Francoforte;E. Frankfurt;Eintracht Francoforte;Frankfurt;FFM
FC Augsburg,Augsburg;Augusta;Augsbourg;Augsburg;FCA
FC Schalke 04,Schalke 04;Schalke;Schalke;Schalke;S04
Hamburger SV,Hamburg;AMBURGO;HSV;Hambourg;Hamburger;Hamburg;HSV
Hannover 96,Hannover;Hanovre;Hannover;H96
Hertha BSC,Hertha Berlin;Hertha Berlino;Hertha BSC Berlin;Herta Berlin;Hertha;Hertha BSC;BSC
LASK Linz,LASK;Linzer ASK;LASK;LAS
Rapid Wien,RAPID VIENNA;Rapid;SK Rapid Wien;SK Rapid Vienna;Rapid Wien;RAP
RB Salzburg,Salisburgo;Red Bull Salzbourg;Salzburg;Red Bull Salzburg;R.B. Salzburg;Red Bull Salisburgo;FC Salzburg;RB Salzburg;RBS
SC Freiburg,Friburgo;Freiburg;SC Freiburg ET;Fribourg;Sport-Club Freiburg;Freiburg;SCF
SCR Altach,Altach;CASHPOINT Altach;Cashpoint Scr Altach;SCR Altach;ALT
SKN St. Pölten,ST. POLTEN;SKN St. Poelten;St Polten;skn st polten;SKN Sankt Pölten;St. Poelten;skn st poelten;SKN St.Pölten;SKN St. Pölten;SKN
Sturm Graz,SK Sturm Graz;Sturm;Sturm Graz (at Salzburg);SK Puntigamer Sturm Graz;Sturm Graz;STU
SV Mattersburg,MATTERSBURG;Mattersbourg;Mattersburg;MAT
VfB Stuttgart,Stoccarda;Stuttgart;VFB Stoccarda;VfB Stuttga.;Stuttgart;VFB
VfL Wolfsburg,Wolfsburg;Wolfsbur;Wolfsburg;WOL
Werder Bremen,WERDER BREMA;Werder;Werder Brême;Brema;Werder;BRE
Wolfsberger AC,RZ Pellets WAC;WOLFSBERGER;WAC;Ac Wolfsberger;Wolfsberg;WAC
RB Leipzig,Lipsia;Leipzig;RasenBallsport Leipzig;Rb Lipsia;RB Leipzig;RBL
